id,url,visibility,opacity,title,itemId,type,layerType,visibleFolders
Air_Now_Site_Data_3485_4574_932_3773_3780,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - Current Hour (Large Scale View) - Orange and Above,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_5284_1640,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - Current Hour (Small Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_4574_5284,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_PM/FeatureServer/0,False,1,PM (PM2.5 and PM10) - Current Hour (Small Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8143_9169_6778,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone/FeatureServer/0,False,1,Ozone - Current Hour (Large Scale View) - Green and Yellow - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8143_9169,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone/FeatureServer/0,False,1,Ozone - Current Hour (Large Scale View) - Green and Yellow,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8143_9169_2634_2763,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone/FeatureServer/0,False,1,Ozone - Current Hour (Large Scale View) - Orange and Above - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8143_9169_2634,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone/FeatureServer/0,False,1,Ozone - Current Hour (Large Scale View) - Orange and Above,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8155_2089,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone/FeatureServer/0,False,1,Ozone - Current Hour (Small Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_5675_8155,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone/FeatureServer/0,False,1,Ozone - Current Hour (Small Scale View),,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_3372_4208_7509,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone_and_PM/FeatureServer/0,False,1,Ozone and PM (PM2.5 and PM10) - Current Hour (Large Scale View) - Green and Yellow - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_3372_4208,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone_and_PM/FeatureServer/0,False,1,Ozone and PM (PM2.5 and PM10) - Current Hour (Large Scale View) - Green and Yellow,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_3372_4208_2477_5345,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone_and_PM/FeatureServer/0,False,1,Ozone and PM (PM2.5 and PM10) - Current Hour (Large Scale View) - Orange and Above - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_3372_4208_2477,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone_and_PM/FeatureServer/0,False,1,Ozone and PM (PM2.5 and PM10) - Current Hour (Large Scale View) - Orange and Above,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_2042_7123,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone_and_PM/FeatureServer/0,False,1,Ozone and PM (PM2.5 and PM10) - Current Hour (Small Scale View) - TempMonitors,,,ArcGISFeatureLayer,
Air_Now_Site_Data_3485_2042,https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air_Now_Current_Monitors_Ozone_and_PM/FeatureServer/0,False,1,Ozone and PM (PM2.5 and PM10) - Current Hour (Small Scale View),,,ArcGISFeatureLayer,
