AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
390950024,Ohio EPA-DAPC,-5,2024-10-24 21:00:00 GMT-5,11,12,12,12,1,PPB,Erie,Active,1729821600000,628434775,Permanent,-9300326.007687531,5107810.626783192
000060709,Ontario Ministry of the Environment,-5,2024-10-24 21:00:00 GMT-5,,31,31,31,1,,Sault Ste Marie,Active,1729821600000,628434776,Permanent,-9385337.02926316,5866209.544799201
840060472024,San Joaquin Valley Unified APCD,-8,2024-10-24 18:00:00 GMT-8,,43,43,43,1,,Merced-Vierra,Active,1729821600000,628434778,Permanent,-13406175.106776513,4479568.725201472
484530014,Texas Commission on Environmental Quality,-6,2024-10-24 20:00:00 GMT-6,27,31,31,31,1,PPB,Austin North Hills Drive C3,Active,1729821600000,628434782,Permanent,-10882593.642589405,3549160.686270975
371010002,North Carolina DEQ - Division of Air Quality,-5,2024-10-24 21:00:00 GMT-5,16,21,21,21,1,PPB,JOHNSTON,Active,1729821600000,628434786,Permanent,-8734372.15051999,4244481.718742961
120830004,Florida Dept. of Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,,22,22,22,1,,County Sheriff Impound,Active,1729821600000,628434790,Permanent,-9147489.912802907,3400208.1154563283
281619991,EPA Office of Atmospheric Protection,-6,2024-10-24 20:00:00 GMT-6,,61,61,61,1,,Coffeeville,Active,1729821600000,628434796,Permanent,-9996378.953745173,4029151.1479538693
CC0090702,Alberta Environmental Monitoring and Reporting Agency (AEMERA),-7,2024-10-24 19:00:00 GMT-7,,,ND,-999,1,,Patricia McInnes,Active,1729821600000,628434801,Permanent,-12409462.687620044,7709638.255746798
124000082101,Canadian Air and Precipitation Monitoring Network,-6,2024-10-24 20:00:00 GMT-6,30,27,27,27,1,PPB,Flat Valley,Active,1729821600000,628434804,Permanent,-12157114.092413643,7226156.056877067
061010003,California Air Resources Board,-8,2024-10-24 18:00:00 GMT-8,,34,34,34,1,,Yuba City,Active,1729821600000,628434819,Permanent,-13538547.339668613,4741555.805196247
840120013012,Florida Dept. of Environmental Protection,-5,2024-10-24 21:00:00 GMT-5,,12,12,12,1,,Paynes Prairie Farm,Active,1729821600000,628434825,Permanent,-9157816.576685837,3447903.487884656
000100202,British Columbia Ministry of Environment,-8,2024-10-24 18:00:00 GMT-8,19,21,21,21,1,PPB,PRG Plaza 400,Active,1729821600000,628434828,Permanent,-13663570.259778539,7154021.798045215
081230009,Colorado Department of Public Health and Environment,-7,2024-10-24 19:00:00 GMT-7,41,42,42,42,1,PPB,Greeley - Weld Co. Tower - 3101 35th Ave.,Active,1729821600000,628434832,Permanent,-11659236.111367857,4922208.93468743
020900034,State of Alaska DEC,-9,2024-10-24 17:00:00 GMT-9,,21,21,21,1,,NCore,Active,1729821600000,628434833,Permanent,-16444924.47268044,9567871.271114912
